"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2306","Registration with correct email, username and password","LMS system","2026-08-12","passed","2026-08-12","Registration","Authentication","",""
"","4251","Create course","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","1304","Check displaying of empty courses list","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","1537","Attempt to login with email: user.name@gmail.com","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","2049","Check displaying of dashboard page","LMS system","2026-08-12","passed","2026-08-12","Dashboard","Dashboard","",""
"","0","test_regression_case","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","1685","Attempt to login with email:   ","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","1363","Navigation from login page to registration page","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","1674","Attempt to login with email: user.name@gmail.com","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","3897","User login with correct email and password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-12","passed","2026-08-12","TestUserInterface","test_markers","",""
"","5651","Edit course","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
